,Unnamed: 1,Age,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PTS/G
4,Grant Williams,24,27.8,3.1,6.0,0.516,1.6,3.7,0.439,1.5,2.3,1.3,1.5,0.849,4.7,1.6,0.8,0.3,0.9,9.0
5,Derrick White,28,26.3,3.4,7.5,0.452,1.5,4.0,0.376,1.9,3.5,1.7,2.0,0.853,3.0,3.1,0.8,0.8,1.0,10.1
6,Malcolm Brogdon,30,23.4,4.5,9.6,0.471,1.7,4.0,0.423,2.8,5.6,2.3,2.6,0.866,4.0,3.8,0.5,0.3,1.8,13.0
7,Robert Williams,25,18.9,3.6,4.3,0.833,0.0,0.0,0.0,3.6,4.3,1.1,1.4,0.8,7.3,1.1,0.4,1.0,1.1,8.3
8,Sam Hauser,25,15.5,2.1,4.7,0.451,1.7,4.1,0.411,0.5,0.6,0.2,0.3,0.636,2.5,0.7,0.3,0.2,0.3,6.1
9,Blake Griffin,33,15.3,1.9,3.9,0.5,0.5,1.6,0.333,1.4,2.3,1.0,1.4,0.714,3.9,1.2,0.3,0.1,0.4,5.4
10,Luke Kornet,27,12.1,1.7,2.5,0.675,0.1,0.2,0.333,1.6,2.3,0.5,0.6,0.833,3.3,0.7,0.2,0.8,0.4,3.9
11,Payton Pritchard,25,9.9,1.5,3.7,0.395,0.7,2.2,0.333,0.7,1.5,0.3,0.5,0.667,1.2,1.1,0.3,0.0,0.7,4.0
12,Mfiondu Kabengele,25,8.0,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0
13,Noah Vonleh,27,7.5,0.5,1.1,0.458,0.0,0.2,0.25,0.5,0.9,0.1,0.1,1.0,2.1,0.3,0.1,0.4,0.5,1.1
14,Justin Jackson,27,4.5,0.2,1.0,0.2,0.2,0.8,0.25,0.0,0.2,0.0,0.0,0.0,0.5,0.4,0.2,0.1,0.1,0.6
15,JD Davison,20,2.7,0.3,1.3,0.25,0.0,0.7,0.0,0.3,0.7,0.0,0.0,0.0,0.3,0.3,0.3,0.0,0.3,0.7
0,Kyrie Irving,30,36.3,9.7,19.5,0.499,3.1,8.3,0.375,6.6,11.2,3.6,4.0,0.907,5.1,4.5,0.7,0.9,2.3,26.2
1,Kevin Durant,34,36.0,10.6,18.8,0.564,1.7,4.7,0.361,8.9,14.1,6.7,7.2,0.931,6.8,5.5,0.8,1.5,3.5,29.6
2,Royce O'Neale,29,35.1,3.4,8.1,0.413,2.4,5.4,0.432,1.0,2.7,0.5,0.7,0.64,4.9,4.2,0.9,0.7,1.7,9.5
3,Nic Claxton,23,28.0,5.4,7.2,0.743,0.0,0.0,0.0,5.4,7.2,1.2,2.7,0.462,8.3,1.4,0.8,2.5,1.2,11.9
4,Ben Simmons,26,26.9,3.6,6.1,0.598,0.0,0.0,0.0,3.6,6.0,0.7,1.6,0.429,6.6,6.0,1.4,0.5,2.1,7.9
5,Joe Harris,31,25.3,3.1,7.2,0.431,1.9,4.9,0.384,1.2,2.3,0.4,0.6,0.684,2.8,1.6,0.6,0.3,0.6,8.5
6,Seth Curry,32,21.1,3.1,7.2,0.431,1.6,4.0,0.4,1.5,3.2,0.7,0.8,0.947,2.1,2.2,0.6,0.2,1.0,8.6
7,T.J. Warren,29,20.2,4.4,8.0,0.548,0.5,1.7,0.318,3.8,6.3,0.9,1.1,0.857,3.4,1.5,0.8,0.4,0.7,10.2
8,Yuta Watanabe,28,19.2,2.9,5.2,0.56,1.5,3.0,0.521,1.4,2.3,0.6,0.8,0.737,3.0,0.9,0.5,0.4,0.4,8.0
9,Edmond Sumner,27,14.7,2.4,5.3,0.458,0.5,1.8,0.281,1.9,3.5,1.7,1.8,0.931,1.5,1.5,0.8,0.2,1.0,7.0
10,Cam Thomas,21,13.6,2.1,5.1,0.413,0.4,1.1,0.387,1.7,4.0,1.7,2.2,0.783,1.3,1.4,0.3,0.1,0.7,6.4
11,Patty Mills,34,12.2,2.0,4.2,0.471,1.2,2.9,0.417,0.8,1.3,0.6,0.6,0.933,1.0,1.3,0.3,0.0,0.6,5.7
12,Markieff Morris,33,11.4,1.4,3.2,0.443,1.0,2.1,0.487,0.4,1.2,0.3,0.3,1.0,2.3,1.0,0.3,0.2,0.6,4.2
13,David Duke Jr.,23,9.0,1.4,3.1,0.442,0.0,0.4,0.0,1.4,2.6,0.3,0.6,0.5,1.1,0.9,0.4,0.1,0.9,3.0
14,Day'Ron Sharpe,21,8.9,1.5,2.9,0.526,0.2,0.3,0.8,1.3,2.6,0.7,1.0,0.684,3.2,0.7,0.2,0.5,0.8,3.9
15,Kessler Edwards,22,5.7,0.5,1.7,0.273,0.2,0.8,0.182,0.3,0.8,0.1,0.2,0.5,1.1,0.2,0.2,0.1,0.3,1.2
16,Alondes Williams,23,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
0,DeMar DeRozan,33,36.3,9.5,18.6,0.508,0.4,1.5,0.286,9.0,17.1,7.3,8.3,0.886,5.1,4.9,1.0,0.5,2.0,26.7
1,Zach LaVine,27,35.1,8.2,17.8,0.458,2.8,7.4,0.38,5.3,10.4,3.6,4.3,0.838,4.3,4.3,1.0,0.1,2.4,22.7
2,Nikola Vučević,32,33.1,6.6,13.0,0.508,1.7,4.5,0.369,4.9,8.5,1.8,2.1,0.844,10.5,2.9,0.6,0.8,1.8,16.7
3,Patrick Williams,21,28.5,3.6,8.0,0.454,1.4,3.4,0.4,2.3,4.6,0.9,0.9,0.914,4.0,1.3,0.6,0.9,1.4,9.5
4,Ayo Dosunmu,23,27.1,3.9,7.7,0.506,0.9,2.8,0.333,3.0,4.9,0.9,1.2,0.767,3.2,2.7,0.8,0.3,1.3,9.7
5,Alex Caruso,28,24.7,1.8,4.1,0.437,0.8,2.2,0.394,0.9,1.9,0.9,1.2,0.75,2.8,3.5,1.6,0.7,1.3,5.3
6,Coby White,22,19.8,2.7,6.5,0.418,1.5,4.3,0.352,1.2,2.2,0.8,1.0,0.8,2.3,1.8,0.7,0.1,0.9,7.8
7,Goran Dragić,36,16.9,3.0,6.9,0.438,1.1,2.9,0.392,1.9,4.0,0.7,1.1,0.639,1.5,2.8,0.2,0.1,1.2,7.8
8,Javonte Green,29,16.0,2.2,3.7,0.587,0.5,1.2,0.382,1.7,2.5,1.0,1.5,0.674,2.9,0.8,0.8,0.7,0.7,5.9
9,Derrick Jones Jr.,25,14.1,2.0,3.8,0.51,0.4,1.3,0.333,1.5,2.6,1.2,1.4,0.833,2.5,0.6,0.5,0.7,0.5,5.5
10,Andre Drummond,29,13.9,2.6,4.5,0.581,0.0,0.1,0.0,2.6,4.5,1.0,1.6,0.604,7.0,0.7,0.7,0.4,1.1,6.2
11,Dalen Terry,20,3.7,0.3,0.9,0.308,0.1,0.3,0.25,0.2,0.6,0.2,0.3,0.75,0.3,0.5,0.1,0.1,0.3,0.9
12,Tony Bradley,25,2.8,0.4,0.8,0.571,0.2,0.4,0.5,0.2,0.3,0.2,0.2,1.0,1.1,0.1,0.1,0.0,0.1,1.3
13,Marko Simonovic,23,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Malcolm Hill,27,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0
0,Terry Rozier,28,35.8,7.6,19.2,0.395,2.4,7.5,0.313,5.2,11.6,2.5,3.0,0.835,4.3,5.4,0.6,0.2,2.5,20.0
1,LaMelo Ball,21,34.6,8.6,20.3,0.423,4.1,11.2,0.369,4.4,9.1,2.4,2.9,0.85,6.0,7.8,1.3,0.4,3.4,23.7
2,Gordon Hayward,32,32.7,5.1,12.0,0.423,1.1,3.8,0.3,4.0,8.2,2.3,3.0,0.766,4.7,3.9,0.8,0.2,2.1,13.7
3,Kelly Oubre Jr.,27,32.6,7.5,17.8,0.421,2.3,7.4,0.308,5.2,10.4,2.9,4.0,0.714,5.1,1.2,1.6,0.4,1.3,20.2
4,P.J. Washington,24,31.9,5.6,13.1,0.427,1.9,5.5,0.342,3.7,7.6,1.9,2.4,0.795,4.8,2.3,0.8,1.1,1.6,14.9
5,Mason Plumlee,32,27.7,4.1,6.5,0.636,0.0,0.0,0.0,4.1,6.5,2.4,4.2,0.581,9.3,3.7,0.7,0.8,1.6,10.7
6,Dennis Smith Jr.,25,27.3,4.1,9.0,0.451,0.7,2.1,0.333,3.4,6.9,0.4,0.9,0.5,3.3,5.4,1.8,0.6,1.5,9.3
7,Jalen McDaniels,25,26.1,3.9,8.5,0.455,1.2,3.5,0.353,2.6,5.0,1.6,1.8,0.886,4.7,2.2,1.0,0.5,1.3,10.6
8,Nick Richards,25,18.4,3.3,5.4,0.617,0.0,0.0,0.0,3.3,5.4,2.1,2.9,0.727,6.2,0.6,0.2,0.8,0.8,8.8
9,Théo Maledon,21,16.1,1.8,4.3,0.408,0.6,1.8,0.323,1.2,2.6,1.4,1.6,0.875,2.4,2.5,0.8,0.2,1.0,5.5
10,James Bouknight,22,14.3,1.7,5.0,0.333,0.7,2.6,0.254,1.0,2.4,0.6,0.9,0.682,2.0,1.2,0.5,0.2,0.8,4.6
11,Bryce McGowens,20,14.3,1.4,3.5,0.4,0.5,1.2,0.375,0.9,2.2,0.8,0.9,0.917,1.4,1.0,0.3,0.3,0.5,4.1
12,Mark Williams,21,12.3,2.6,4.0,0.656,0.0,0.0,0.0,2.6,4.0,1.8,2.3,0.778,5.6,0.5,0.6,0.6,1.1,7.0
13,JT Thor,20,10.4,0.8,2.6,0.328,0.3,1.4,0.2,0.6,1.2,0.4,0.6,0.733,1.6,0.5,0.2,0.3,0.5,2.4
14,Kai Jones,22,9.6,1.2,2.3,0.5,0.1,0.5,0.273,1.0,1.9,0.3,0.5,0.727,2.1,0.2,0.2,0.4,0.4,2.8
15,Cody Martin,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Donovan Mitchell,26,36.7,10.1,20.6,0.492,3.9,9.3,0.413,6.3,11.2,5.2,6.0,0.868,3.9,4.8,1.4,0.4,3.0,29.3
1,Darius Garland,23,35.9,7.4,16.4,0.45,2.5,6.2,0.4,4.9,10.2,4.1,4.8,0.867,2.6,7.8,1.3,0.2,3.2,21.3
2,Evan Mobley,21,34.0,5.9,10.5,0.557,0.3,1.1,0.22,5.6,9.4,2.6,3.6,0.71,8.9,2.8,0.8,1.3,2.0,14.6
3,Jarrett Allen,24,33.7,5.6,9.0,0.626,0.0,0.1,0.0,5.6,8.8,2.8,3.9,0.711,10.2,1.5,0.8,1.2,1.5,14.0
4,Caris LeVert,28,30.9,4.3,11.0,0.394,1.5,4.3,0.34,2.9,6.6,2.0,2.6,0.756,4.2,3.7,0.8,0.1,1.6,12.1
5,Dean Wade,26,24.1,2.2,4.9,0.452,1.4,3.3,0.411,0.9,1.6,0.5,0.8,0.692,4.1,1.0,0.7,0.4,0.4,6.4
6,Cedi Osman,27,23.3,3.6,7.8,0.47,1.4,4.3,0.34,2.2,3.5,1.1,1.6,0.678,2.7,1.6,0.5,0.1,0.9,9.8
7,Lamar Stevens,25,22.8,2.5,6.1,0.418,0.6,2.1,0.298,1.9,4.0,0.8,1.2,0.654,3.9,0.7,0.4,0.4,0.7,6.5
8,Kevin Love,34,20.9,3.1,7.3,0.42,2.0,5.2,0.391,1.0,2.1,1.4,1.7,0.86,7.3,2.1,0.2,0.2,1.3,9.6
9,Isaac Okoro,22,18.9,1.8,4.0,0.441,0.5,1.8,0.257,1.3,2.2,1.0,1.2,0.826,2.3,0.8,0.6,0.4,0.6,5.0
10,Raul Neto,30,9.5,1.0,2.0,0.49,0.3,0.8,0.3,0.8,1.2,0.4,0.5,0.833,0.8,1.3,0.4,0.0,0.4,2.7
11,Robin Lopez,34,8.9,1.3,2.1,0.64,0.0,0.0,1.0,1.3,2.0,0.4,0.6,0.714,1.5,0.4,0.0,0.1,0.7,3.1
12,Mamadi Diakite,26,7.2,0.8,1.8,0.455,0.3,1.1,0.308,0.5,0.8,0.0,0.0,0.0,0.9,0.2,0.2,0.4,0.4,2.0
13,Isaiah Mobley,23,3.3,0.5,1.0,0.5,0.1,0.3,0.5,0.4,0.8,0.0,0.0,0.0,1.4,0.0,0.1,0.0,0.0,1.1
0,Luka Dončić,23,37.0,11.5,22.8,0.507,2.9,8.2,0.359,8.6,14.6,8.3,11.2,0.74,8.8,8.9,1.7,0.6,3.6,34.3
1,Spencer Dinwiddie,29,32.9,5.6,12.3,0.46,2.6,6.4,0.409,3.0,5.9,2.2,2.6,0.837,3.2,5.1,0.9,0.2,1.5,16.1
2,Dorian Finney-Smith,29,31.6,3.0,7.5,0.401,1.9,5.4,0.345,1.1,2.1,0.5,0.8,0.64,4.0,1.2,1.0,0.5,0.9,8.4
3,Reggie Bullock,31,28.7,1.8,5.2,0.349,1.4,4.3,0.316,0.4,0.9,0.4,0.6,0.714,3.4,1.1,0.7,0.2,0.4,5.4
4,Tim Hardaway Jr.,30,28.3,4.5,11.8,0.384,2.8,7.9,0.357,1.7,3.9,1.9,2.4,0.784,3.1,1.6,0.9,0.1,0.9,13.8
5,Christian Wood,27,27.8,6.6,12.1,0.544,1.8,4.5,0.403,4.8,7.6,2.8,3.9,0.708,7.9,1.6,0.5,1.1,2.1,17.8
6,Maxi Kleber,31,25.6,2.3,4.7,0.49,1.1,3.0,0.369,1.2,1.8,0.5,0.6,0.786,3.5,1.0,0.3,1.0,0.6,6.2
7,Josh Green,22,20.3,2.4,4.1,0.583,1.0,2.2,0.444,1.4,2.0,1.3,1.8,0.711,2.3,1.2,0.9,0.0,0.7,7.0
8,Kemba Walker,32,17.6,2.9,7.0,0.411,0.9,3.5,0.25,2.0,3.5,2.1,2.6,0.81,2.0,2.4,0.3,0.3,0.5,8.8
9,Dwight Powell,31,17.5,2.2,3.1,0.723,0.0,0.1,0.0,2.2,3.0,1.5,2.2,0.694,3.6,0.6,0.5,0.4,0.8,5.9
10,Frank Ntilikina,24,13.4,1.0,3.0,0.333,0.4,1.7,0.219,0.6,1.3,0.4,0.6,0.727,1.7,1.3,0.2,0.1,0.7,2.8
11,McKinley Wright IV,24,10.9,0.9,1.9,0.467,0.0,0.4,0.0,0.9,1.5,0.0,0.3,0.0,1.1,1.3,0.8,0.1,0.6,1.8
12,Dāvis Bertāns,30,9.8,1.4,3.5,0.394,1.1,3.0,0.368,0.3,0.5,0.5,0.6,0.833,0.9,0.2,0.2,0.1,0.3,4.4
13,JaVale McGee,35,8.3,1.8,3.0,0.609,0.0,0.2,0.25,1.8,2.8,0.6,1.0,0.542,2.3,0.2,0.1,0.5,0.9,4.3
14,Jaden Hardy,20,7.1,1.4,4.0,0.341,0.2,1.4,0.133,1.2,2.6,0.8,0.8,1.0,1.0,0.3,0.1,0.2,0.4,3.7
15,Facundo Campazzo,31,6.5,0.4,1.6,0.231,0.4,1.4,0.273,0.0,0.3,0.1,0.3,0.5,0.3,1.1,0.8,0.0,0.4,1.3
16,Theo Pinson,27,4.6,0.3,1.2,0.25,0.2,0.8,0.308,0.1,0.4,0.3,0.4,0.833,1.3,0.3,0.1,0.0,0.2,1.1
17,Tyler Dorsey,26,2.7,1.3,1.7,0.8,0.3,0.7,0.5,1.0,1.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,3.0
18,A.J. Lawson,22,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Nikola Jokić,27,33.6,9.6,15.7,0.615,0.9,2.4,0.354,8.8,13.3,5.5,6.7,0.812,10.8,9.5,1.4,0.6,3.4,25.6
1,Jamal Murray,25,32.0,6.6,15.0,0.44,1.9,5.4,0.358,4.7,9.6,2.9,3.6,0.798,3.8,5.6,0.9,0.2,2.1,18.0
2,Kentavious Caldwell-Pope,29,31.6,4.1,8.6,0.472,2.1,4.4,0.475,2.0,4.2,1.2,1.4,0.827,3.1,2.2,1.1,0.3,1.2,11.4
3,Aaron Gordon,27,30.4,6.6,11.3,0.583,1.0,2.6,0.373,5.6,8.7,3.0,4.7,0.651,6.9,2.4,1.0,0.8,1.6,17.1
4,Michael Porter Jr.,24,29.4,6.1,12.8,0.478,2.8,6.7,0.422,3.3,6.1,1.6,2.1,0.771,5.8,1.3,0.7,0.5,1.3,16.7
5,Bruce Brown,26,29.2,4.4,8.8,0.497,1.3,3.2,0.405,3.1,5.6,1.0,1.2,0.795,4.1,3.9,0.9,0.6,1.6,11.1
6,Bones Hyland,22,20.9,4.6,11.2,0.408,2.5,6.1,0.41,2.1,5.1,1.7,2.0,0.831,2.3,3.4,0.7,0.3,1.9,13.4
7,Jeff Green,36,19.3,2.8,5.4,0.527,0.3,1.3,0.267,2.5,4.1,1.5,2.1,0.686,2.8,1.1,0.4,0.3,1.0,7.5
8,Christian Braun,21,14.5,1.4,3.0,0.471,0.4,1.0,0.343,1.1,2.0,0.3,0.6,0.524,2.0,0.5,0.3,0.2,0.4,3.5
9,DeAndre Jordan,34,14.3,2.0,2.7,0.753,0.0,0.0,1.0,2.0,2.7,0.6,1.3,0.472,5.2,0.8,0.2,0.6,1.1,4.7
10,Vlatko Čančar,25,12.6,1.8,3.4,0.534,1.0,2.0,0.51,0.8,1.4,0.3,0.3,0.889,1.6,1.1,0.3,0.2,0.7,4.9
11,Zeke Nnaji,22,10.7,1.6,2.7,0.581,0.1,0.6,0.176,1.5,2.1,0.6,0.7,0.75,1.6,0.2,0.2,0.2,0.5,3.9
12,Davon Reed,27,9.9,0.8,2.4,0.31,0.5,1.4,0.353,0.3,1.0,0.5,0.7,0.688,1.5,0.6,0.3,0.1,0.5,2.5
13,Ish Smith,34,9.1,1.3,3.2,0.392,0.1,0.4,0.333,1.1,2.8,0.1,0.1,0.5,0.9,1.9,0.3,0.4,0.9,2.7
14,Jack White,25,3.0,0.1,0.7,0.167,0.0,0.2,0.0,0.1,0.4,0.0,0.0,0.0,0.6,0.0,0.1,0.2,0.0,0.2
15,Peyton Watson,20,2.5,0.5,1.5,0.333,0.0,0.2,0.0,0.5,1.3,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0
0,Cade Cunningham,21,33.3,7.8,18.7,0.415,1.4,5.1,0.279,6.3,13.6,3.0,3.6,0.837,6.2,6.0,0.8,0.6,3.3,19.9
1,Bojan Bogdanović,33,31.1,6.9,14.2,0.483,2.4,5.8,0.412,4.5,8.4,4.7,5.3,0.898,3.6,2.6,0.6,0.1,2.3,20.8
2,Jaden Ivey,20,29.8,5.1,12.5,0.409,1.3,4.1,0.315,3.8,8.4,3.5,4.8,0.728,4.0,4.0,1.0,0.3,2.8,15.0
3,Isaiah Stewart,21,28.2,4.0,8.6,0.46,1.5,4.1,0.36,2.5,4.5,2.2,2.9,0.747,7.8,1.2,0.4,0.7,1.4,11.6
4,Saddiq Bey,23,28.1,4.4,10.9,0.399,1.7,5.3,0.323,2.7,5.7,3.3,4.0,0.839,4.2,1.5,0.9,0.2,1.1,13.8
5,Killian Hayes,21,25.5,3.6,9.5,0.381,1.1,3.4,0.323,2.5,6.2,0.8,1.0,0.806,2.9,5.3,1.1,0.4,1.8,9.1
6,Jalen Duren,19,24.1,3.1,5.0,0.618,0.0,0.0,0.0,3.1,5.0,1.1,1.9,0.563,8.4,1.0,0.5,0.8,1.1,7.3
7,Alec Burks,31,21.7,4.3,9.3,0.464,2.0,4.6,0.447,2.3,4.8,3.5,4.4,0.79,2.9,2.1,0.8,0.1,1.1,14.2
8,Marvin Bagley III,23,21.3,4.3,8.0,0.537,0.4,1.3,0.273,4.0,6.7,1.6,2.1,0.769,5.9,0.6,0.5,0.7,0.9,10.6
9,Isaiah Livers,24,19.5,1.9,4.7,0.404,1.3,3.7,0.358,0.6,1.0,0.7,0.9,0.75,2.3,0.6,0.4,0.5,0.6,5.8
10,Cory Joseph,31,15.5,1.7,4.2,0.399,0.6,1.7,0.333,1.1,2.5,0.6,0.8,0.75,1.3,3.1,0.4,0.1,0.7,4.5
11,Hamidou Diallo,24,14.9,2.7,5.2,0.521,0.1,0.5,0.235,2.6,4.7,1.5,2.5,0.595,3.1,1.0,0.7,0.3,0.8,7.0
12,Kevin Knox,23,13.9,1.9,4.3,0.449,1.0,2.8,0.356,0.9,1.5,0.7,0.8,0.815,2.4,0.4,0.4,0.3,0.7,5.6
13,Rodney McGruder,31,10.6,0.9,2.9,0.325,0.6,2.1,0.31,0.3,0.8,0.4,0.6,0.75,1.8,0.8,0.3,0.0,0.4,2.9
14,Nerlens Noel,28,8.5,0.5,1.8,0.286,0.0,0.0,0.0,0.5,1.8,0.5,0.8,0.667,2.4,0.4,0.9,0.3,0.5,1.5
15,Braxton Key,25,3.0,0.3,0.3,1.0,0.0,0.0,0.0,0.3,0.3,0.7,0.7,1.0,0.3,0.0,0.0,0.0,0.0,1.3
16,Buddy Boeheim,23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Stephen Curry,34,34.4,10.1,20.2,0.5,5.0,11.6,0.434,5.0,8.5,4.8,5.2,0.919,6.6,6.8,1.0,0.3,3.1,30.0
1,Andrew Wiggins,27,32.8,7.4,14.5,0.511,3.0,6.8,0.45,4.4,7.7,1.2,2.0,0.628,5.1,2.2,1.4,0.8,1.4,19.1
2,Klay Thompson,32,32.1,7.3,17.8,0.412,4.0,10.4,0.386,3.3,7.4,1.6,1.8,0.889,4.0,2.5,0.6,0.5,1.7,20.3
3,Draymond Green,32,31.3,3.2,6.3,0.509,0.6,1.8,0.339,2.6,4.5,0.9,1.3,0.721,6.8,6.7,0.7,0.9,2.4,7.9
4,Jordan Poole,23,29.8,7.0,16.3,0.43,2.5,8.0,0.309,4.5,8.3,4.1,4.7,0.86,2.3,4.3,0.7,0.2,3.6,20.5
5,Donte DiVincenzo,26,23.3,2.5,6.3,0.392,1.6,4.3,0.372,0.9,2.0,0.7,0.9,0.833,4.6,3.0,1.3,0.1,1.4,7.3
6,Kevon Looney,26,23.1,2.8,4.4,0.621,0.0,0.0,0.0,2.8,4.4,1.1,1.8,0.632,8.2,2.9,0.4,0.6,0.4,6.7
7,Anthony Lamb,25,19.0,2.3,4.7,0.5,1.2,3.1,0.383,1.1,1.5,0.4,0.6,0.667,3.2,1.6,0.7,0.3,1.0,6.3
8,Jonathan Kuminga,20,18.6,2.8,6.0,0.472,0.5,1.9,0.258,2.4,4.2,1.4,2.0,0.672,3.2,1.7,0.5,0.5,1.5,7.5
9,Ty Jerome,25,17.7,2.5,5.2,0.487,0.8,2.2,0.367,1.7,3.0,1.1,1.1,0.96,1.7,2.4,0.3,0.1,0.7,7.0
10,Moses Moody,20,15.4,1.8,4.1,0.452,0.9,2.5,0.373,0.9,1.6,0.7,0.9,0.742,1.7,0.8,0.4,0.2,0.7,5.3
11,JaMychal Green,32,14.9,2.3,4.5,0.512,0.5,1.8,0.265,1.8,2.7,0.8,1.1,0.733,4.0,0.8,0.5,0.4,1.1,5.8
12,James Wiseman,21,12.7,2.8,4.6,0.609,0.1,0.1,0.5,2.7,4.5,1.2,1.8,0.657,3.6,0.7,0.1,0.4,0.7,6.8
13,Patrick Baldwin Jr.,20,8.2,1.8,4.0,0.455,1.4,3.2,0.429,0.5,0.8,0.1,0.2,0.5,1.5,0.2,0.5,0.1,0.4,5.1
14,Ryan Rollins,20,5.5,0.5,1.7,0.316,0.3,0.8,0.333,0.3,0.9,0.5,0.5,1.0,0.9,0.5,0.1,0.1,1.5,1.9
0,Kevin Porter Jr.,22,34.5,6.8,15.6,0.438,2.1,6.2,0.336,4.8,9.4,3.8,4.9,0.773,5.6,5.8,1.4,0.4,3.7,19.5
1,Jalen Green,20,34.4,7.2,17.4,0.414,2.4,7.2,0.327,4.8,10.2,4.7,6.0,0.784,4.4,3.6,0.8,0.2,2.9,21.4
2,Jabari Smith Jr.,19,30.0,4.3,10.9,0.389,1.9,5.8,0.333,2.3,5.2,1.7,2.0,0.822,6.9,0.9,0.5,1.0,1.3,12.1
3,Eric Gordon,34,29.7,3.9,9.5,0.415,1.9,5.3,0.356,2.1,4.2,1.7,2.1,0.818,2.0,2.4,0.6,0.4,1.8,11.5
4,Alperen Şengün,20,26.4,5.5,10.0,0.555,0.2,0.8,0.2,5.4,9.2,3.1,3.9,0.792,8.6,2.6,0.6,0.9,2.1,14.4
5,Kenyon Martin Jr.,22,24.0,4.1,7.5,0.543,0.8,2.7,0.303,3.3,4.8,1.4,2.1,0.667,4.9,1.4,0.4,0.3,1.2,10.4
6,Jae'Sean Tate,27,22.7,3.3,6.7,0.5,0.7,1.7,0.4,2.7,5.0,1.0,1.3,0.75,4.3,3.3,1.0,0.0,1.7,8.3
7,Tari Eason,21,18.9,3.1,7.3,0.426,0.8,2.1,0.372,2.3,5.2,1.3,1.5,0.825,5.4,0.8,1.1,0.5,1.0,8.3
8,Usman Garuba,20,14.7,1.3,2.6,0.511,0.3,0.6,0.429,1.1,2.0,0.5,0.9,0.545,5.1,1.0,0.8,0.6,0.7,3.4
9,Daishen Nix,20,14.4,1.2,3.4,0.356,0.7,2.3,0.329,0.5,1.1,0.5,0.7,0.696,1.6,2.5,0.7,0.1,1.4,3.6
10,Garrison Mathews,26,13.1,1.2,3.4,0.35,1.1,3.3,0.337,0.1,0.2,1.0,1.1,0.939,1.2,0.5,0.6,0.1,0.3,4.5
11,Bruno Fernando,24,11.2,1.5,2.6,0.558,0.0,0.1,0.0,1.5,2.6,0.8,1.3,0.615,3.6,0.9,0.3,0.7,0.6,3.7
12,TyTy Washington Jr.,21,10.5,1.5,4.0,0.364,0.3,1.8,0.15,1.2,2.2,0.3,0.5,0.5,1.4,1.4,0.4,0.0,0.1,3.5
13,Josh Christopher,21,6.7,1.0,2.6,0.407,0.1,0.7,0.2,0.9,1.9,0.3,0.4,0.75,1.0,0.6,0.2,0.0,0.6,2.5
14,Boban Marjanović,34,4.2,1.0,1.4,0.706,0.0,0.1,0.0,1.0,1.3,0.8,0.9,0.818,1.3,0.2,0.1,0.1,0.3,2.8
15,Trevor Hudgins,23,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
0,Tyrese Haliburton,22,33.4,7.4,15.4,0.485,3.1,7.4,0.41,4.4,7.9,2.8,3.2,0.877,3.9,10.1,1.8,0.4,2.7,20.7
1,Buddy Hield,30,31.7,6.4,13.9,0.462,3.8,8.9,0.429,2.6,5.0,1.2,1.3,0.863,4.8,2.7,0.9,0.3,1.9,17.9
2,Myles Turner,26,29.5,6.0,10.8,0.552,1.5,3.8,0.402,4.4,7.0,3.3,4.2,0.778,7.9,1.5,0.6,2.1,1.6,16.8
3,Bennedict Mathurin,20,28.1,5.4,12.9,0.422,1.7,4.9,0.344,3.8,8.0,4.8,5.9,0.812,3.9,1.4,0.6,0.1,1.8,17.3
4,Andrew Nembhard,23,26.3,3.2,6.8,0.466,1.3,3.3,0.382,1.9,3.4,0.4,0.5,0.875,3.1,3.8,0.9,0.2,1.5,8.0
5,Aaron Nesmith,23,23.1,3.3,7.8,0.43,1.5,4.2,0.358,1.8,3.6,1.3,1.5,0.898,3.6,1.2,0.7,0.5,0.9,9.5
6,Jalen Smith,22,20.5,3.8,8.3,0.453,1.0,3.5,0.277,2.8,4.8,1.5,2.0,0.767,6.3,1.0,0.4,0.9,1.2,10.0
