,Unnamed: 1,Age,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PTS/G
4,Jusuf Nurkić,28,28.4,5.4,9.9,0.539,0.8,1.8,0.456,4.5,8.1,2.8,4.2,0.677,9.6,2.9,0.8,0.9,2.4,14.4
5,Justise Winslow,26,26.8,2.8,6.8,0.409,0.5,1.6,0.311,2.3,5.3,0.7,1.0,0.714,5.0,3.4,1.0,0.4,1.5,6.8
6,Shaedon Sharpe,19,19.4,3.2,6.7,0.47,0.9,2.5,0.345,2.3,4.3,0.5,0.8,0.621,2.5,0.4,0.3,0.2,0.6,7.7
7,Drew Eubanks,25,18.6,2.5,3.4,0.741,0.1,0.1,0.667,2.5,3.3,0.9,1.3,0.667,4.4,1.0,0.6,1.1,0.8,6.0
8,Trendon Watford,22,17.1,1.9,3.4,0.56,0.3,0.8,0.364,1.6,2.6,1.3,1.6,0.773,3.9,1.7,0.5,0.1,1.0,5.3
9,Nassir Little,22,15.3,2.0,4.3,0.473,0.8,2.0,0.372,1.3,2.3,0.7,1.0,0.667,2.4,0.9,0.4,0.1,0.7,5.5
10,Keon Johnson,20,13.5,2.4,6.1,0.392,1.0,3.0,0.333,1.4,3.1,0.3,0.8,0.385,1.9,1.3,0.7,0.3,1.6,6.1
11,Gary Payton II,30,13.0,3.0,4.0,0.75,1.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,2.0,7.0
12,Jabari Walker,20,8.3,0.8,2.0,0.385,0.2,0.6,0.25,0.6,1.4,0.2,0.3,0.667,2.2,0.6,0.1,0.2,0.3,1.9
13,Greg Brown III,21,6.5,0.8,1.9,0.429,0.1,0.5,0.167,0.7,1.4,0.5,1.1,0.417,1.1,0.0,0.4,0.5,0.5,2.2
14,John Butler,20,3.8,0.3,0.8,0.333,0.0,0.5,0.0,0.3,0.3,0.0,0.0,0.0,0.5,0.3,0.0,0.3,0.0,0.5
0,Domantas Sabonis,26,33.8,6.9,11.0,0.626,0.5,1.2,0.429,6.4,9.8,4.3,5.8,0.742,12.4,6.6,0.8,0.5,2.5,18.6
1,De'Aaron Fox,25,32.8,8.7,17.3,0.499,1.8,5.1,0.344,6.9,12.3,4.4,5.5,0.791,4.7,5.9,0.9,0.4,2.7,23.4
2,Harrison Barnes,30,31.4,4.2,9.1,0.461,1.2,4.0,0.309,3.0,5.1,4.0,4.9,0.809,5.3,1.8,0.9,0.1,1.3,13.6
3,Kevin Huerter,24,31.3,5.6,11.5,0.482,2.9,7.0,0.422,2.6,4.6,1.6,2.2,0.707,3.2,2.9,1.1,0.3,1.5,15.6
4,Keegan Murray,22,28.6,4.2,9.8,0.422,2.2,5.8,0.382,1.9,4.1,1.0,1.3,0.762,3.7,0.8,0.8,0.6,1.1,11.5
5,Malik Monk,24,23.3,5.1,11.3,0.448,1.9,5.7,0.33,3.2,5.6,2.5,2.8,0.907,2.3,3.9,0.6,0.1,2.1,14.6
6,Davion Mitchell,24,19.5,2.5,5.6,0.45,0.7,2.5,0.298,1.8,3.1,0.4,0.5,0.706,1.5,2.6,0.5,0.2,1.0,6.1
7,Trey Lyles,27,14.7,2.1,5.1,0.419,1.1,3.2,0.33,1.1,1.9,0.7,1.0,0.724,3.4,0.9,0.3,0.4,0.9,6.1
8,Terence Davis,25,13.0,2.4,5.6,0.436,1.4,3.8,0.362,1.1,1.8,0.5,0.6,0.824,2.5,1.3,0.7,0.3,0.9,6.7
9,Chimezie Metu,25,10.7,2.0,3.5,0.589,0.2,0.8,0.238,1.8,2.7,0.6,0.8,0.8,3.0,0.6,0.3,0.2,0.7,4.9
10,Richaun Holmes,29,9.7,1.4,2.0,0.674,0.1,0.1,0.667,1.3,1.9,0.3,0.4,0.778,2.1,0.1,0.1,0.3,0.3,3.2
11,KZ Okpala,23,7.8,0.5,1.2,0.464,0.2,0.5,0.385,0.3,0.6,0.3,0.3,1.0,1.2,0.4,0.2,0.3,0.3,1.5
12,Matthew Dellavedova,32,6.7,0.5,1.5,0.304,0.2,0.7,0.3,0.3,0.9,0.1,0.2,0.333,0.3,1.3,0.4,0.0,0.4,1.2
13,Neemias Queta,23,6.3,1.5,2.0,0.75,0.0,0.0,0.0,1.5,2.0,0.0,0.5,0.0,2.3,0.3,0.0,0.3,0.3,3.0
14,Alex Len,29,4.0,0.5,1.0,0.5,0.0,0.1,0.0,0.5,0.9,0.3,0.4,0.75,1.3,0.3,0.0,0.0,0.3,1.3
15,Chima Moneke,27,4.0,0.5,1.0,0.5,0.0,0.0,0.0,0.5,1.0,0.0,1.0,0.0,1.0,0.5,0.0,0.0,1.0,1.0
16,Keon Ellis,23,3.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.3,0.0,0.0,0.0,0.0
0,Keldon Johnson,23,32.5,7.6,17.9,0.425,2.6,7.3,0.353,5.0,10.6,3.7,4.9,0.747,4.9,2.8,0.7,0.2,2.2,21.5
1,Devin Vassell,22,31.3,7.1,16.0,0.445,2.8,7.0,0.404,4.3,9.0,2.4,3.0,0.793,4.0,3.6,1.2,0.4,1.6,19.4
2,Tre Jones,23,29.9,4.8,11.0,0.439,0.8,2.6,0.287,4.1,8.4,2.3,2.6,0.874,3.6,6.5,1.4,0.2,1.9,12.7
3,Jakob Poeltl,27,26.2,5.3,8.2,0.646,0.0,0.0,0.0,5.3,8.2,1.6,2.8,0.556,9.3,2.9,0.8,1.1,2.1,12.1
